sick,age,children,avgtemp_winter
1.67,57.47,3.04,54.10
0.71,26.77,1.20,36.54
1.39,41.85,2.31,32.38
1.37,51.27,2.46,52.94
1.45,44.22,2.72,45.90
0.62,44.67,1.20,68.60
1.06,27.92,1.84,29.42
1.29,44.87,2.40,50.49
1.05,53.68,1.65,55.12
1.18,39.63,1.96,37.30
1.21,44.73,1.98,41.21
0.63,41.05,1.04,56.73
0.67,30.44,1.08,41.38
0.64,37.77,0.94,47.97
0.86,30.46,1.39,34.33
1.25,46.54,2.10,44.26
0.88,51.92,1.53,65.57
0.12,15.46,0.00,33.46
1.53,59.02,2.67,55.67
1.36,45.63,2.35,42.02
0.73,42.65,1.03,48.89
0.15,28.09,0.00,46.28
0.60,35.63,0.89,47.29
1.28,54.79,2.20,56.59
0.89,42.76,1.29,42.77
0.46,38.50,0.60,53.20
1.03,36.14,1.57,32.03
0.42,20.16,0.55,30.97
0.60,40.30,0.93,54.33
1.86,55.48,3.53,52.19
1.10,46.37,1.91,51.81
1.35,52.69,2.19,46.30
1.11,55.31,1.83,58.98
2.04,52.21,3.54,30.29
0.89,38.91,1.37,41.25
0.69,26.21,0.94,27.12
1.58,42.66,2.76,33.42
0.86,37.89,1.38,43.11
0.81,46.45,1.46,62.57
0.81,38.49,1.20,42.21
1.04,41.43,1.70,42.36
1.68,32.41,2.98,18.55
1.36,48.77,2.35,46.47
0.37,33.90,0.49,51.27
1.05,48.81,1.79,55.41
2.80,74.89,4.96,40.44
1.03,36.70,1.48,28.86
1.22,44.90,2.02,42.04
1.83,54.07,3.26,42.38
1.25,44.15,2.13,42.20
1.02,47.06,1.68,51.06
0.89,41.47,1.48,49.46
1.98,63.36,3.56,52.22
1.51,61.14,2.73,62.75
1.14,50.63,1.88,51.75
1.18,43.83,1.83,36.81
0.79,35.15,1.29,43.92
1.66,48.50,2.94,39.52
1.21,45.68,2.10,47.39
0.50,17.01,0.72,25.70
1.51,56.44,2.57,50.38
0.81,51.19,1.16,56.65
0.64,43.76,0.92,54.45
1.35,34.55,2.33,28.16
0.20,28.41,0.14,47.37
0.66,21.15,0.97,25.28
1.04,51.08,1.81,59.75
1.88,54.80,3.36,42.87
0.55,24.01,0.60,25.28
1.01,43.18,1.88,55.84
0.81,46.43,1.15,50.30
0.95,37.01,1.61,42.90
1.27,37.91,2.01,27.69
0.78,37.58,1.27,46.55
0.90,28.65,1.47,31.27
0.96,38.59,1.44,36.97
0.79,34.36,1.25,40.82
0.56,24.51,0.95,38.47
