Date,Open,High,Low,Close,Volume
2004-08-19,100.01,104.06,95.96,100.335,44659000
2004-08-20,101.01,109.08,100.5,108.31,22834300
2004-08-23,110.76,113.48,109.05,109.4,18256100
2004-08-24,111.24,111.6,103.57,104.87,15247300
2004-08-25,104.76,108.0,103.88,106.0,9188600
2004-08-26,104.95,107.95,104.66,107.91,7094800
2004-08-27,108.1,108.62,105.69,106.15,6211700
2004-08-30,105.28,105.49,102.01,102.01,5196700
2004-08-31,102.32,103.71,102.16,102.37,4917800
2004-09-01,102.7,102.97,99.67,100.25,9138200
2004-09-02,99.09,102.37,98.94,101.51,15118600
2004-09-03,100.95,101.74,99.32,100.01,5152400
2004-09-07,101.01,102.0,99.61,101.58,5847500
2004-09-08,100.74,103.03,100.5,102.3,4985600
2004-09-09,102.5,102.71,101.0,102.31,4061700
2004-09-10,101.47,106.56,101.3,105.33,8698800
2004-09-13,106.63,108.41,106.46,107.5,7844100
2004-09-14,107.44,112.0,106.79,111.49,10828900
2004-09-15,110.56,114.23,110.2,112.0,10713000
2004-09-16,112.34,115.8,111.65,113.97,9266300
2004-09-17,114.42,117.49,113.55,117.49,9472500
2004-09-20,116.95,121.6,116.77,119.36,10628700
2004-09-21,120.2,120.42,117.51,117.84,7228700
2004-09-22,117.45,119.67,116.81,118.38,7581200
2004-09-23,118.84,122.63,117.02,120.82,8535600
2004-09-24,120.97,124.1,119.76,119.83,9123400
2004-09-27,119.56,120.88,117.8,118.26,7066100
2004-09-28,121.15,127.4,120.21,126.86,16929000
2004-09-29,126.53,135.02,126.23,131.08,30516400
2004-09-30,129.899,132.3,129.0,129.6,13758000
2004-10-01,130.8,134.24,128.9,132.58,15124800
2004-10-04,135.275,136.87,134.03,135.06,13022700
2004-10-05,134.66,138.53,132.24,138.37,14973200
2004-10-06,137.67,138.45,136.0,137.08,13381400
2004-10-07,136.56,139.88,136.55,138.85,14115000
2004-10-08,138.73,139.68,137.02,137.73,11069500
2004-10-11,137.01,138.86,133.85,135.26,10472100
2004-10-12,134.49,137.61,133.4,137.4,11665500
2004-10-13,143.24,143.55,140.08,140.9,19766200
2004-10-14,141.02,142.38,138.56,142.0,10442100
2004-10-15,144.95,145.5,141.95,144.11,13194700
2004-10-18,143.12,149.2,141.21,149.16,14036300
2004-10-19,150.5,152.4,147.35,147.94,18109800
2004-10-20,147.94,148.99,139.6,140.49,22722600
2004-10-21,144.13,150.13,141.62,149.38,29149800
2004-10-22,170.435,180.17,164.08,172.43,73710000
2004-10-25,176.28,194.43,172.55,187.4,65462800
2004-10-26,186.449,192.64,180.0,181.8,44569500
