ID,TIRE,TPOP,NGRW,PGRW,OCTY,OPOP,LANDV,ELD,FFRAC,PINC,LNHDD
40013,2,3.5350001,0,0.83700001,8.3870001,5.8438597,1.183,0.11578925,0.241,7.7160001,7.2737865
40015,11,9.257,0,1.9450001,2.1600001,0.58835,0.090999998,0.15301172,0.287,6.6729999,7.2737865
40016,10,15.737,0,1.3049999,2.1600001,0.58835,0.090999998,0.15301172,0.287,6.6729999,7.2737865
40017,7,7.921,-0.145,0,1.434,1.36367,0.111,0.060343936,1.16,4.4850001,7.3765082
40018,5,5.2849998,0,0.52600002,1.434,1.36367,0.111,0.060343936,1.16,4.4850001,7.3765082
40027,7,2.5420001,0,0.59399998,1.196,1.85603,1.347,0.1100117,0.078000002,5.6810002,6.8906093
50129,2,1.595,0,0.198,0.43700001,0.63770002,0.38600001,0.16966203,0.43099999,3.7650001,8.0557928
60049,2,3.0250001,0,0.226,0.229,0.1084,0.33899999,0.13937283,0.26800001,6.5630002,7.8414931
60051,3,0.60000002,0,0.1,0.38499999,0.1374,0.33199999,0.042555671,0.057,8.5900002,7.8811822
60091,0,1.03,0,0.085000001,0.197,0.1178,0.271,0.14383338,0.088,7.1199999,7.9648509
80007,2,1.331,-0.028999999,0,0.094999999,0.1469,0.396,0.092521831,0.152,5.5500002,8.6061192
80009,2,1.6569999,-0.003,0,0.050999999,0.080109999,0.21699999,0.13932461,0.81300002,5.6069999,8.6061192
80023,0,0.84200001,0,0.061000001,0.11,0.54500002,0.121,0.13513513,0.47400001,3.6800001,8.6061192
80033,0,0.82599998,0,0.207,0.161,0.052619997,0.24699999,0.10434258,0.264,5.381,8.6452341
80051,5,5.7849998,0,1.1720001,0.21699999,0.43698001,0.42300001,0.046496399,0.14300001,6.6300001,8.7555799
80055,5,3.9449999,-0.384,0,0.294,0.080760002,0.124,0.18400621,0.66900003,5.1589999,8.6061192
80057,1,0.94700003,0,0.039999999,0.014,0.044769999,0.212,0.076757915,0.42199999,6.8639998,8.7769384
80061,1,0.87800002,0,0.082999997,0.055,0.047119997,0.156,0.14772727,0.88700002,6.4520001,8.6061192
80063,2,3.1070001,0,0.27900001,0.064999998,0.15000001,0.336,0.13778129,0.91900003,5.9499998,8.7555799
80073,3,2.5810001,0,0.008,0.121,0.058900002,0.145,0.17499463,0.96799999,6.3569999,8.7555799
80079,0,0.61000001,-0.043000001,0,0.025,0.017280001,0.333,0.079601988,0.02,7.1040001,8.6061192
80113,0,1.0470001,0,0.49399999,0.15899999,0.14119999,0.27500001,0.055451129,0.23800001,6.3460002,8.6452341
160003,0,0.917,0,0.017999999,0.108,0.13510001,0.292,0.12399163,0.233,5.8730001,8.6659584
160007,4,3.1070001,0,0.50300002,0.59899998,0.3768,0.338,0.12047324,0.51300001,5.4419999,8.8710842
160017,6,4.46,0,0.31600001,0.88499999,3.8787901,0.73500001,0.11294127,0.12800001,5.3150001,8.6007986
160021,3,1.906,-0.003,0,0.092,0.047910001,0.92400002,0.11304706,0.103,4.9580002,8.6007986
160023,1,1.2410001,-0.003,0,0.107,0.064400002,0.493,0.11041293,0.13500001,5.4840002,8.9865713
160025,0,0.40400001,0,0.068000004,0.002,0.027489999,0.31999999,0.1210269,0.317,5.8610001,8.6659584
160037,1,0.75800002,-0.026000001,0,0.088,0.04163,0.43200001,0.11344165,0.046,5.237,8.6659584
160039,5,7.54,0,1.289,0.53899997,1.25322,0.384,0.052538835,0.207,5.3239999,8.6659584
160049,2,3.6659999,0,0.029999999,0.47799999,0.38385001,0.336,0.12465299,0.15700001,5.8730001,8.6007986
160059,5,3.3080001,0,0.398,0.20999999,0.095690005,0.44299999,0.12024128,0.082000002,5.5650001,8.6659584
160081,1,0.727,0,0,0.17900001,0.18610001,0.68199998,0.094580598,0.55699998,4.2969999,8.9865713
