region,total_population,percent_white,percent_black,percent_asian,percent_hispanic,per_capita_income,median_rent,median_age
1001.0,54907.0,76.0,18.0,1.0,2.0,24571.0,668.0,37.5
1003.0,187114.0,83.0,9.0,1.0,4.0,26766.0,693.0,41.5
1005.0,27321.0,46.0,46.0,0.0,5.0,16829.0,382.0,38.3
1007.0,22754.0,75.0,22.0,0.0,2.0,17427.0,351.0,39.4
1009.0,57623.0,88.0,1.0,0.0,8.0,20730.0,403.0,39.6
1011.0,10746.0,22.0,71.0,0.0,6.0,18628.0,276.0,39.6
1013.0,20624.0,54.0,44.0,1.0,1.0,17403.0,331.0,40.6
1015.0,117714.0,73.0,21.0,1.0,3.0,20828.0,422.0,38.7
1017.0,34145.0,58.0,40.0,1.0,1.0,19291.0,374.0,42.4
1019.0,26034.0,92.0,5.0,0.0,1.0,22030.0,375.0,45.0
1021.0,43744.0,81.0,10.0,0.0,8.0,20701.0,405.0,38.0
1023.0,13687.0,56.0,43.0,0.0,0.0,20323.0,345.0,44.2
1025.0,25573.0,54.0,44.0,0.0,0.0,18979.0,325.0,40.3
1027.0,13703.0,80.0,15.0,0.0,3.0,18694.0,276.0,42.1
1029.0,14945.0,93.0,4.0,0.0,2.0,19108.0,371.0,41.3
1031.0,50468.0,72.0,17.0,1.0,6.0,23380.0,456.0,37.8
1033.0,54456.0,79.0,16.0,0.0,2.0,21572.0,399.0,41.7
1035.0,13104.0,51.0,45.0,0.0,1.0,15605.0,331.0,43.2
1037.0,11198.0,66.0,31.0,0.0,2.0,18493.0,301.0,44.7
1039.0,37847.0,84.0,13.0,0.0,1.0,20391.0,353.0,42.4
1041.0,13955.0,71.0,23.0,1.0,2.0,21343.0,279.0,40.6
1043.0,80499.0,92.0,1.0,0.0,4.0,20760.0,401.0,40.4
1045.0,50102.0,70.0,19.0,1.0,6.0,22685.0,434.0,36.1
1047.0,43091.0,29.0,69.0,0.0,1.0,17245.0,305.0,38.0
1049.0,71076.0,81.0,2.0,0.0,14.0,18149.0,359.0,38.8
1051.0,79895.0,74.0,20.0,1.0,3.0,23856.0,550.0,37.8
1053.0,38169.0,61.0,32.0,0.0,2.0,16540.0,386.0,39.4
1055.0,104260.0,79.0,15.0,1.0,3.0,20204.0,412.0,40.3
1057.0,17110.0,86.0,11.0,0.0,1.0,18494.0,287.0,43.5
1059.0,31666.0,79.0,4.0,0.0,15.0,18888.0,333.0,38.3
1061.0,26791.0,84.0,9.0,0.0,3.0,20199.0,377.0,41.9
1063.0,8934.0,18.0,81.0,0.0,1.0,14930.0,240.0,42.4
1065.0,15594.0,40.0,59.0,0.0,0.0,18812.0,207.0,40.7
1067.0,17308.0,68.0,27.0,2.0,2.0,21924.0,353.0,42.7
1069.0,102326.0,68.0,26.0,1.0,3.0,23316.0,483.0,38.6
1071.0,53171.0,90.0,3.0,0.0,3.0,20486.0,336.0,42.0
1073.0,658552.0,51.0,42.0,1.0,4.0,26906.0,587.0,37.2
1075.0,14396.0,86.0,12.0,0.0,1.0,19026.0,276.0,42.9
1077.0,92666.0,85.0,10.0,1.0,2.0,23510.0,405.0,40.8
1079.0,34009.0,77.0,11.0,0.0,2.0,20181.0,337.0,41.2
1081.0,144405.0,69.0,23.0,3.0,4.0,23506.0,580.0,29.9
1083.0,85264.0,78.0,13.0,1.0,6.0,25020.0,435.0,38.5
1085.0,11086.0,25.0,74.0,0.0,1.0,18368.0,318.0,41.0
1087.0,20803.0,16.0,81.0,0.0,1.0,16826.0,351.0,36.8
1089.0,339279.0,66.0,24.0,2.0,5.0,31933.0,585.0,37.4
1091.0,20669.0,46.0,52.0,0.0,2.0,22072.0,340.0,41.8
1093.0,30615.0,92.0,4.0,0.0,2.0,19576.0,280.0,43.5
1095.0,93699.0,83.0,2.0,1.0,12.0,20382.0,415.0,38.4
1097.0,413188.0,59.0,35.0,2.0,2.0,22501.0,561.0,36.7
1099.0,22778.0,55.0,42.0,0.0,1.0,15749.0,339.0,40.4
1101.0,228980.0,38.0,55.0,2.0,3.0,24975.0,596.0,34.8
1103.0,119673.0,77.0,12.0,1.0,8.0,23764.0,443.0,39.0
1105.0,10390.0,30.0,68.0,0.0,1.0,13716.0,224.0,35.8
1107.0,19516.0,56.0,41.0,0.0,2.0,17153.0,250.0,42.1
1109.0,32977.0,57.0,36.0,2.0,2.0,19715.0,432.0,31.6
1111.0,22819.0,75.0,20.0,0.0,3.0,19830.0,345.0,41.5
1113.0,55544.0,51.0,42.0,1.0,4.0,19678.0,528.0,35.2
1115.0,84521.0,87.0,9.0,1.0,2.0,23872.0,508.0,38.9
1117.0,198366.0,80.0,11.0,2.0,6.0,33313.0,740.0,37.3
1119.0,13552.0,24.0,73.0,1.0,1.0,14156.0,301.0,37.2
1121.0,81845.0,64.0,32.0,0.0,2.0,19410.0,368.0,40.0
1123.0,41428.0,69.0,27.0,0.0,2.0,21434.0,382.0,42.0
1125.0,196824.0,64.0,30.0,1.0,3.0,22637.0,570.0,31.4
1127.0,66622.0,90.0,5.0,0.0,2.0,20698.0,402.0,41.8
1129.0,17284.0,65.0,24.0,1.0,1.0,20395.0,318.0,39.8
1131.0,11531.0,27.0,73.0,0.0,0.0,13379.0,237.0,39.0
1133.0,24342.0,95.0,1.0,0.0,3.0,18995.0,328.0,43.6
2013.0,3141.0,13.0,12.0,37.0,13.0,26535.0,711.0,41.4
2016.0,5538.0,30.0,6.0,31.0,11.0,31790.0,1071.0,38.6
2020.0,295237.0,62.0,6.0,8.0,8.0,36214.0,1048.0,32.8
2050.0,17356.0,11.0,1.0,1.0,1.0,18497.0,984.0,26.2
2060.0,933.0,53.0,0.0,0.0,5.0,37024.0,857.0,40.9
2068.0,2020.0,87.0,1.0,4.0,3.0,35295.0,714.0,39.2
2070.0,4923.0,18.0,0.0,1.0,2.0,21498.0,836.0,28.7
2090.0,98656.0,73.0,4.0,2.0,7.0,32143.0,1048.0,30.7
2100.0,2546.0,80.0,0.0,1.0,1.0,31096.0,691.0,44.0
2105.0,2141.0,47.0,0.0,1.0,2.0,28806.0,448.0,46.4
2110.0,31897.0,67.0,1.0,6.0,6.0,37558.0,1085.0,37.3
2122.0,56163.0,82.0,1.0,1.0,3.0,31256.0,772.0,40.7
2130.0,13595.0,65.0,0.0,6.0,4.0,31589.0,880.0,38.7
2150.0,13850.0,52.0,1.0,19.0,8.0,28562.0,865.0,31.9
2164.0,1454.0,22.0,0.0,1.0,2.0,21616.0,535.0,29.8
2170.0,91519.0,82.0,1.0,1.0,4.0,29534.0,894.0,34.7
2180.0,9695.0,17.0,1.0,1.0,2.0,20271.0,929.0,27.9
2185.0,9484.0,32.0,0.0,5.0,3.0,46457.0,796.0,33.5
2188.0,7624.0,11.0,1.0,1.0,1.0,21461.0,866.0,25.7
2195.0,3806.0,70.0,2.0,1.0,5.0,34183.0,646.0,42.4
2198.0,5672.0,49.0,0.0,1.0,3.0,24581.0,577.0,39.4
2220.0,8945.0,64.0,1.0,5.0,5.0,32521.0,908.0,38.5
2230.0,1080.0,77.0,0.0,14.0,1.0,37139.0,908.0,44.3
2240.0,7047.0,78.0,2.0,2.0,4.0,29437.0,959.0,35.9
2261.0,9682.0,71.0,0.0,4.0,4.0,32579.0,744.0,38.0
2270.0,7678.0,4.0,0.0,0.0,0.0,11210.0,320.0,22.0
2275.0,2371.0,66.0,0.0,1.0,3.0,28474.0,609.0,53.3
