GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,SX1E001,NAME_M,SX1M001
"G0100030","2013",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,"Baldwin County, Alabama",25389,"Baldwin County, Alabama",1626
"G0100150","2013",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,"Calhoun County, Alabama",19800,"Calhoun County, Alabama",1432
"G0100430","2013",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,"Cullman County, Alabama",21509,"Cullman County, Alabama",1389
"G0100490","2013",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,"DeKalb County, Alabama",16941,"DeKalb County, Alabama",1393
"G0100510","2013",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,"Elmore County, Alabama",22780,"Elmore County, Alabama",2194
"G0100550","2013",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,"Etowah County, Alabama",20018,"Etowah County, Alabama",1013
"G0100690","2013",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,"Houston County, Alabama",22242,"Houston County, Alabama",825
"G0100730","2013",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,"Jefferson County, Alabama",27220,"Jefferson County, Alabama",862
"G0100770","2013",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",23993,"Lauderdale County, Alabama",1881
"G0100810","2013",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,"Lee County, Alabama",25024,"Lee County, Alabama",2092
"G0100830","2013",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,"Limestone County, Alabama",25202,"Limestone County, Alabama",2639
"G0100890","2013",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,"Madison County, Alabama",31477,"Madison County, Alabama",1337
"G0100950","2013",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,"Marshall County, Alabama",20101,"Marshall County, Alabama",1588
"G0100970","2013",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,"Mobile County, Alabama",21283,"Mobile County, Alabama",725
"G0101010","2013",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,"Montgomery County, Alabama",25248,"Montgomery County, Alabama",1296
"G0101030","2013",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,"Morgan County, Alabama",23228,"Morgan County, Alabama",1944
"G0101150","2013",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,"St. Clair County, Alabama",25439,"St. Clair County, Alabama",2045
"G0101170","2013",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,"Shelby County, Alabama",32229,"Shelby County, Alabama",1313
"G0101210","2013",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,"Talladega County, Alabama",21033,"Talladega County, Alabama",2016
"G0101250","2013",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",22004,"Tuscaloosa County, Alabama",1255
"G0101270","2013",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,"Walker County, Alabama",19182,"Walker County, Alabama",1477
"G0200200","2013",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",36344,"Anchorage Municipality, Alaska",1337
"G0200900","2013",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",30872,"Fairbanks North Star Borough, Alaska",2441
"G0201700","2013",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",28714,"Matanuska-Susitna Borough, Alaska",1223
"G0400010","2013",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,"Apache County, Arizona",11929,"Apache County, Arizona",912
