user_id,age,gender,occupation,zip_code,is_female
1,24,M,technician,85711,False
2,53,F,other,94043,True
3,23,M,writer,32067,False
4,24,M,technician,43537,False
5,33,F,other,15213,True
6,42,M,executive,98101,False
7,57,M,administrator,91344,False
8,36,M,administrator,05201,False
9,29,M,student,01002,False
10,53,M,lawyer,90703,False
11,39,F,other,30329,True
12,28,F,other,06405,True
13,47,M,educator,29206,False
14,45,M,scientist,55106,False
15,49,F,educator,97301,True
16,21,M,entertainment,10309,False
17,30,M,programmer,06355,False
18,35,F,other,37212,True
19,40,M,librarian,02138,False
20,42,F,doctor,95660,True
21,26,M,writer,30068,False
22,25,M,writer,40206,False
23,30,F,artist,48197,True
24,21,F,artist,94533,True
25,39,M,engineer,55107,False
26,49,M,engineer,21044,False
27,40,F,librarian,30030,True
28,32,M,writer,55369,False
29,41,M,programmer,94043,False
30,7,M,student,55436,False
31,24,M,artist,10003,False
32,28,F,student,78741,True
33,23,M,student,27510,False
34,38,F,administrator,42141,True
35,20,F,doctor,42459,True
36,19,F,student,93117,True
37,23,M,student,55105,False
38,28,F,other,54467,True
39,41,M,entertainment,01040,False
40,38,M,scientist,27514,False
41,33,M,engineer,80525,False
42,30,M,administrator,17870,False
43,29,F,librarian,20854,True
44,26,M,technician,46260,False
45,29,M,programmer,50233,False
46,27,F,marketing,46538,True
47,53,M,marketing,07102,False
48,45,M,administrator,12550,False
49,23,F,student,76111,True
50,21,M,writer,52245,False
51,28,M,educator,16509,False
52,18,F,student,55105,True
53,26,M,programmer,55414,False
54,22,M,executive,66315,False
55,37,M,programmer,01331,False
56,25,M,librarian,46260,False
57,16,M,none,84010,False
58,27,M,programmer,52246,False
59,49,M,educator,08403,False
60,50,M,healthcare,06472,False
61,36,M,engineer,30040,False
62,27,F,administrator,97214,True
63,31,M,marketing,75240,False
64,32,M,educator,43202,False
65,51,F,educator,48118,True
66,23,M,student,80521,False
67,17,M,student,60402,False
68,19,M,student,22904,False
69,24,M,engineer,55337,False
70,27,M,engineer,60067,False
71,39,M,scientist,98034,False
72,48,F,administrator,73034,True
73,24,M,student,41850,False
74,39,M,scientist,T8H1N,False
75,24,M,entertainment,08816,False
76,20,M,student,02215,False
77,30,M,technician,29379,False
78,26,M,administrator,61801,False
79,39,F,administrator,03755,True
80,34,F,administrator,52241,True
81,21,M,student,21218,False
82,50,M,programmer,22902,False
83,40,M,other,44133,False
84,32,M,executive,55369,False
85,51,M,educator,20003,False
86,26,M,administrator,46005,False
87,47,M,administrator,89503,False
88,49,F,librarian,11701,True
89,43,F,administrator,68106,True
90,60,M,educator,78155,False
91,55,M,marketing,01913,False
92,32,M,entertainment,80525,False
93,48,M,executive,23112,False
94,26,M,student,71457,False
95,31,M,administrator,10707,False
96,25,F,artist,75206,True
97,43,M,artist,98006,False
98,49,F,executive,90291,True
99,20,M,student,63129,False
100,36,M,executive,90254,False
101,15,M,student,05146,False
102,38,M,programmer,30220,False
103,26,M,student,55108,False
104,27,M,student,55108,False
105,24,M,engineer,94043,False
106,61,M,retired,55125,False
107,39,M,scientist,60466,False
108,44,M,educator,63130,False
109,29,M,other,55423,False
110,19,M,student,77840,False
111,57,M,engineer,90630,False
112,30,M,salesman,60613,False
113,47,M,executive,95032,False
114,27,M,programmer,75013,False
115,31,M,engineer,17110,False
116,40,M,healthcare,97232,False
117,20,M,student,16125,False
118,21,M,administrator,90210,False
119,32,M,programmer,67401,False
120,47,F,other,06260,True
121,54,M,librarian,99603,False
122,32,F,writer,22206,True
123,48,F,artist,20008,True
124,34,M,student,60615,False
125,30,M,lawyer,22202,False
126,28,F,lawyer,20015,True
127,33,M,none,73439,False
128,24,F,marketing,20009,True
129,36,F,marketing,07039,True
130,20,M,none,60115,False
131,59,F,administrator,15237,True
132,24,M,other,94612,False
133,53,M,engineer,78602,False
134,31,M,programmer,80236,False
135,23,M,student,38401,False
136,51,M,other,97365,False
137,50,M,educator,84408,False
138,46,M,doctor,53211,False
139,20,M,student,08904,False
140,30,F,student,32250,True
141,49,M,programmer,36117,False
142,13,M,other,48118,False
143,42,M,technician,08832,False
144,53,M,programmer,20910,False
145,31,M,entertainment,V3N4P,False
146,45,M,artist,83814,False
147,40,F,librarian,02143,True
148,33,M,engineer,97006,False
149,35,F,marketing,17325,True
150,20,F,artist,02139,True
151,38,F,administrator,48103,True
152,33,F,educator,68767,True
153,25,M,student,60641,False
154,25,M,student,53703,False
155,32,F,other,11217,True
156,25,M,educator,08360,False
157,57,M,engineer,70808,False
158,50,M,educator,27606,False
159,23,F,student,55346,True
160,27,M,programmer,66215,False
161,50,M,lawyer,55104,False
162,25,M,artist,15610,False
163,49,M,administrator,97212,False
164,47,M,healthcare,80123,False
165,20,F,other,53715,True
166,47,M,educator,55113,False
167,37,M,other,L9G2B,False
168,48,M,other,80127,False
169,52,F,other,53705,True
170,53,F,healthcare,30067,True
171,48,F,educator,78750,True
172,55,M,marketing,22207,False
173,56,M,other,22306,False
174,30,F,administrator,52302,True
175,26,F,scientist,21911,True
176,28,M,scientist,07030,False
177,20,M,programmer,19104,False
178,26,M,other,49512,False
179,15,M,entertainment,20755,False
180,22,F,administrator,60202,True
181,26,M,executive,21218,False
182,36,M,programmer,33884,False
183,33,M,scientist,27708,False
184,37,M,librarian,76013,False
185,53,F,librarian,97403,True
186,39,F,executive,00000,True
187,26,M,educator,16801,False
188,42,M,student,29440,False
189,32,M,artist,95014,False
190,30,M,administrator,95938,False
191,33,M,administrator,95161,False
192,42,M,educator,90840,False
193,29,M,student,49931,False
194,38,M,administrator,02154,False
195,42,M,scientist,93555,False
196,49,M,writer,55105,False
197,55,M,technician,75094,False
198,21,F,student,55414,True
199,30,M,writer,17604,False
200,40,M,programmer,93402,False
201,27,M,writer,E2A4H,False
202,41,F,educator,60201,True
203,25,F,student,32301,True
204,52,F,librarian,10960,True
205,47,M,lawyer,06371,False
206,14,F,student,53115,True
207,39,M,marketing,92037,False
208,43,M,engineer,01720,False
209,33,F,educator,85710,True
210,39,M,engineer,03060,False
211,66,M,salesman,32605,False
212,49,F,educator,61401,True
213,33,M,executive,55345,False
214,26,F,librarian,11231,True
215,35,M,programmer,63033,False
216,22,M,engineer,02215,False
217,22,M,other,11727,False
218,37,M,administrator,06513,False
219,32,M,programmer,43212,False
220,30,M,librarian,78205,False
221,19,M,student,20685,False
222,29,M,programmer,27502,False
223,19,F,student,47906,True
224,31,F,educator,43512,True
225,51,F,administrator,58202,True
226,28,M,student,92103,False
227,46,M,executive,60659,False
228,21,F,student,22003,True
229,29,F,librarian,22903,True
230,28,F,student,14476,True
231,48,M,librarian,01080,False
232,45,M,scientist,99709,False
233,38,M,engineer,98682,False
234,60,M,retired,94702,False
235,37,M,educator,22973,False
236,44,F,writer,53214,True
237,49,M,administrator,63146,False
238,42,F,administrator,44124,True
239,39,M,artist,95628,False
240,23,F,educator,20784,True
241,26,F,student,20001,True
242,33,M,educator,31404,False
243,33,M,educator,60201,False
244,28,M,technician,80525,False
245,22,M,student,55109,False
246,19,M,student,28734,False
247,28,M,engineer,20770,False
248,25,M,student,37235,False
249,25,M,student,84103,False
250,29,M,executive,95110,False
251,28,M,doctor,85032,False
252,42,M,engineer,07733,False
253,26,F,librarian,22903,True
254,44,M,educator,42647,False
255,23,M,entertainment,07029,False
256,35,F,none,39042,True
257,17,M,student,77005,False
258,19,F,student,77801,True
259,21,M,student,48823,False
260,40,F,artist,89801,True
261,28,M,administrator,85202,False
262,19,F,student,78264,True
263,41,M,programmer,55346,False
264,36,F,writer,90064,True
265,26,M,executive,84601,False
266,62,F,administrator,78756,True
267,23,M,engineer,83716,False
268,24,M,engineer,19422,False
269,31,F,librarian,43201,True
270,18,F,student,63119,True
271,51,M,engineer,22932,False
272,33,M,scientist,53706,False
273,50,F,other,10016,True
274,20,F,student,55414,True
275,38,M,engineer,92064,False
276,21,M,student,95064,False
277,35,F,administrator,55406,True
278,37,F,librarian,30033,True
279,33,M,programmer,85251,False
280,30,F,librarian,22903,True
281,15,F,student,06059,True
282,22,M,administrator,20057,False
283,28,M,programmer,55305,False
284,40,M,executive,92629,False
285,25,M,programmer,53713,False
286,27,M,student,15217,False
287,21,M,salesman,31211,False
288,34,M,marketing,23226,False
289,11,M,none,94619,False
290,40,M,engineer,93550,False
291,19,M,student,44106,False
292,35,F,programmer,94703,True
293,24,M,writer,60804,False
294,34,M,technician,92110,False
295,31,M,educator,50325,False
296,43,F,administrator,16803,True
297,29,F,educator,98103,True
298,44,M,executive,01581,False
299,29,M,doctor,63108,False
300,26,F,programmer,55106,True
301,24,M,student,55439,False
302,42,M,educator,77904,False
303,19,M,student,14853,False
304,22,F,student,71701,True
305,23,M,programmer,94086,False
306,45,M,other,73132,False
307,25,M,student,55454,False
308,60,M,retired,95076,False
309,40,M,scientist,70802,False
310,37,M,educator,91711,False
311,32,M,technician,73071,False
312,48,M,other,02110,False
313,41,M,marketing,60035,False
